03-25-2019 17:30:04.650,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"
03-25-2019 17:33:39.914,922,SENT,2B2B2B
03-25-2019 17:33:39.960,923,RECV,4F4B0D
03-25-2019 17:33:41.424,924,SENT,415444420D
03-25-2019 17:33:41.471,925,RECV,34410D
03-25-2019 17:33:42.929,926,SENT,2B2B2B
03-25-2019 17:33:42.976,927,RECV,4F4B0D
03-25-2019 17:33:44.438,928,SENT,415444420D
03-25-2019 17:33:44.485,929,RECV,34410D
03-25-2019 17:33:45.946,930,SENT,2B2B2B
03-25-2019 17:33:45.993,931,RECV,4F4B0D
03-25-2019 17:33:47.457,932,SENT,415444420D
03-25-2019 17:33:47.504,933,RECV,34390D
03-25-2019 17:33:48.968,934,SENT,2B2B2B
03-25-2019 17:33:49.015,935,RECV,4F4B0D
03-25-2019 17:33:50.477,936,SENT,415444420D
03-25-2019 17:33:50.524,937,RECV,34390D
03-25-2019 17:33:51.987,938,SENT,2B2B2B
03-25-2019 17:33:52.034,939,RECV,4F4B0D
03-25-2019 17:33:53.494,940,SENT,415444420D
03-25-2019 17:33:53.536,941,RECV,34410D
03-25-2019 17:33:55.001,942,SENT,2B2B2B
03-25-2019 17:33:55.017,943,RECV,4F4B0D
03-25-2019 17:33:56.508,944,SENT,415444420D
03-25-2019 17:33:56.524,945,RECV,34410D
03-25-2019 17:33:58.012,946,SENT,2B2B2B
03-25-2019 17:33:58.075,947,RECV,4F4B0D
03-25-2019 17:33:59.516,948,SENT,415444420D
03-25-2019 17:33:59.532,949,RECV,34410D
03-25-2019 17:34:01.022,950,SENT,2B2B2B
03-25-2019 17:34:01.037,951,RECV,4F4B0D
03-25-2019 17:34:02.525,952,SENT,415444420D
03-25-2019 17:34:02.541,953,RECV,34410D
03-25-2019 17:34:04.029,954,SENT,2B2B2B
03-25-2019 17:34:04.045,955,RECV,4F4B0D
03-25-2019 17:34:05.534,956,SENT,415444420D
03-25-2019 17:34:05.554,957,RECV,34410D
03-25-2019 17:34:07.036,958,SENT,2B2B2B
03-25-2019 17:34:07.105,959,RECV,4F4B0D
