03-25-2019 18:12:57.532,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"
03-25-2019 18:14:52.874,4211,SENT,415444420D
03-25-2019 18:14:52.896,4212,RECV,34320D
03-25-2019 18:14:54.378,4213,SENT,2B2B2B
03-25-2019 18:14:54.416,4214,RECV,4F4B0D
03-25-2019 18:14:55.888,4215,SENT,415444420D
03-25-2019 18:14:55.926,4216,RECV,34320D
03-25-2019 18:14:57.398,4217,SENT,2B2B2B
03-25-2019 18:14:57.413,4218,RECV,4F4B0D
03-25-2019 18:14:58.899,4219,SENT,415444420D
03-25-2019 18:14:58.946,4220,RECV,34320D
03-25-2019 18:15:00.404,4221,SENT,2B2B2B
03-25-2019 18:15:00.451,4222,RECV,4F4B0D
03-25-2019 18:15:01.915,4223,SENT,415444420D
03-25-2019 18:15:01.961,4224,RECV,34320D
03-25-2019 18:15:03.425,4225,SENT,2B2B2B
03-25-2019 18:15:03.472,4226,RECV,4F4B0D
03-25-2019 18:15:04.940,4227,SENT,415444420D
03-25-2019 18:15:04.987,4228,RECV,34300D
03-25-2019 18:15:06.450,4229,SENT,2B2B2B
03-25-2019 18:15:06.497,4230,RECV,4F4B0D
03-25-2019 18:15:07.958,4231,SENT,415444420D
03-25-2019 18:15:08.005,4232,RECV,34300D
03-25-2019 18:15:09.470,4233,SENT,2B2B2B
03-25-2019 18:15:09.516,4234,RECV,4F4B0D
03-25-2019 18:15:10.981,4235,SENT,415444420D
03-25-2019 18:15:11.028,4236,RECV,33460D
03-25-2019 18:15:12.494,4237,SENT,2B2B2B
03-25-2019 18:15:12.525,4238,RECV,4F4B0D
03-25-2019 18:15:14.001,4239,SENT,415444420D
03-25-2019 18:15:14.032,4240,RECV,34320D
03-25-2019 18:15:15.501,4241,SENT,2B2B2B
03-25-2019 18:15:15.533,4242,RECV,4F4B0D
03-25-2019 18:15:17.006,4243,SENT,415444420D
03-25-2019 18:15:17.091,4244,RECV,34320D
03-25-2019 18:15:18.520,4245,SENT,2B2B2B
03-25-2019 18:15:18.551,4246,RECV,4F4B0D
03-25-2019 18:15:20.032,4247,SENT,415444420D
03-25-2019 18:15:20.063,4248,RECV,34300D
03-25-2019 18:15:21.535,4249,SENT,2B2B2B
03-25-2019 18:15:21.551,4250,RECV,4F4B0D
03-25-2019 18:15:23.039,4251,SENT,415444420D
03-25-2019 18:15:23.055,4252,RECV,34300D
03-25-2019 18:15:24.546,4253,SENT,2B2B2B
03-25-2019 18:15:24.561,4254,RECV,4F4B0D
03-25-2019 18:15:26.057,4255,SENT,415444420D
03-25-2019 18:15:26.073,4256,RECV,34300D
03-25-2019 18:15:27.564,4257,SENT,2B2B2B
03-25-2019 18:15:27.626,4258,RECV,4F4B0D
03-25-2019 18:15:29.077,4259,SENT,415444420D
03-25-2019 18:15:29.140,4260,RECV,34300D
03-25-2019 18:15:30.587,4261,SENT,2B2B2B
03-25-2019 18:15:30.650,4262,RECV,4F4B0D
03-25-2019 18:15:32.094,4263,SENT,415444420D
03-25-2019 18:15:32.156,4264,RECV,34300D
03-25-2019 18:15:33.600,4265,SENT,2B2B2B
03-25-2019 18:15:33.663,4266,RECV,4F4B0D
03-25-2019 18:15:35.110,4267,SENT,415444420D
03-25-2019 18:15:35.172,4268,RECV,34300D
03-25-2019 18:15:36.619,4269,SENT,2B2B2B
03-25-2019 18:15:36.681,4270,RECV,4F4B0D
03-25-2019 18:15:38.130,4271,SENT,415444420D
03-25-2019 18:15:38.177,4272,RECV,34300D
03-25-2019 18:15:39.630,4273,SENT,2B2B2B
03-25-2019 18:15:39.664,4274,RECV,4F4B0D
03-25-2019 18:15:41.141,4275,SENT,415444420D
03-25-2019 18:15:41.163,4276,RECV,34300D
03-25-2019 18:15:42.656,4277,SENT,2B2B2B
03-25-2019 18:15:42.678,4278,RECV,4F4B0D
03-25-2019 18:15:44.169,4279,SENT,415444420D
03-25-2019 18:15:44.190,4280,RECV,34300D
03-25-2019 18:15:45.672,4281,SENT,2B2B2B
03-25-2019 18:15:45.709,4282,RECV,4F4B0D
03-25-2019 18:15:47.178,4283,SENT,415444420D
03-25-2019 18:15:47.216,4284,RECV,34300D
03-25-2019 18:15:48.688,4285,SENT,2B2B2B
03-25-2019 18:15:48.726,4286,RECV,4F4B0D
03-25-2019 18:15:50.195,4287,SENT,415444420D
03-25-2019 18:15:50.210,4288,RECV,34300D
03-25-2019 18:15:51.704,4289,SENT,2B2B2B
03-25-2019 18:15:51.720,4290,RECV,4F4B0D
03-25-2019 18:15:53.215,4291,SENT,415444420D
03-25-2019 18:15:53.230,4292,RECV,34460D
03-25-2019 18:15:54.720,4293,SENT,2B2B2B
03-25-2019 18:15:54.789,4294,RECV,4F4B0D
03-25-2019 18:15:56.221,4295,SENT,415444420D
03-25-2019 18:15:56.290,4296,RECV,34460D
03-25-2019 18:15:57.729,4297,SENT,2B2B2B
03-25-2019 18:15:57.786,4298,RECV,4F4B0D
03-25-2019 18:15:59.236,4299,SENT,415444420D
03-25-2019 18:15:59.290,4300,RECV,34430D
03-25-2019 18:16:00.751,4301,SENT,2B2B2B
03-25-2019 18:16:00.806,4302,RECV,4F4B0D
03-25-2019 18:16:02.254,4303,SENT,415444420D
03-25-2019 18:16:02.323,4304,RECV,34430D
03-25-2019 18:16:03.761,4305,SENT,2B2B2B
03-25-2019 18:16:03.830,4306,RECV,4F4B0D
03-25-2019 18:16:05.268,4307,SENT,415444420D
03-25-2019 18:16:05.284,4308,RECV,34430D
03-25-2019 18:16:06.772,4309,SENT,2B2B2B
03-25-2019 18:16:06.787,4310,RECV,4F4B0D
03-25-2019 18:16:08.279,4311,SENT,415444420D
03-25-2019 18:16:08.295,4312,RECV,34440D
03-25-2019 18:16:09.789,4313,SENT,2B2B2B
03-25-2019 18:16:09.858,4314,RECV,4F4B0D
03-25-2019 18:16:11.298,4315,SENT,415444420D
03-25-2019 18:16:11.366,4316,RECV,34440D
03-25-2019 18:16:12.811,4317,SENT,2B2B2B
03-25-2019 18:16:12.880,4318,RECV,4F4B0D
03-25-2019 18:16:14.320,4319,SENT,415444420D
03-25-2019 18:16:14.335,4320,RECV,34460D
03-25-2019 18:16:15.826,4321,SENT,2B2B2B
03-25-2019 18:16:15.842,4322,RECV,4F4B0D
03-25-2019 18:16:17.336,4323,SENT,415444420D
03-25-2019 18:16:17.352,4324,RECV,35300D
03-25-2019 18:16:18.843,4325,SENT,2B2B2B
03-25-2019 18:16:18.859,4326,RECV,4F4B0D
03-25-2019 18:16:20.351,4327,SENT,415444420D
03-25-2019 18:16:20.420,4328,RECV,35300D
03-25-2019 18:16:21.857,4329,SENT,2B2B2B
03-25-2019 18:16:21.873,4330,RECV,4F4B0D
03-25-2019 18:16:23.368,4331,SENT,415444420D
03-25-2019 18:16:23.437,4332,RECV,35300D
03-25-2019 18:16:24.872,4333,SENT,2B2B2B
03-25-2019 18:16:24.941,4334,RECV,4F4B0D
03-25-2019 18:16:26.383,4335,SENT,415444420D
03-25-2019 18:16:26.452,4336,RECV,34430D
03-25-2019 18:16:27.893,4337,SENT,2B2B2B
03-25-2019 18:16:27.940,4338,RECV,4F4B0D
03-25-2019 18:16:29.396,4339,SENT,415444420D
03-25-2019 18:16:29.443,4340,RECV,35300D
03-25-2019 18:16:30.910,4341,SENT,2B2B2B
03-25-2019 18:16:30.957,4342,RECV,4F4B0D
03-25-2019 18:16:32.413,4343,SENT,415444420D
03-25-2019 18:16:32.476,4344,RECV,34460D
03-25-2019 18:16:33.921,4345,SENT,2B2B2B
03-25-2019 18:16:33.983,4346,RECV,4F4B0D
03-25-2019 18:16:35.425,4347,SENT,415444420D
03-25-2019 18:16:35.487,4348,RECV,34460D
03-25-2019 18:16:36.929,4349,SENT,2B2B2B
03-25-2019 18:16:36.983,4350,RECV,4F4B0D
03-25-2019 18:16:38.434,4351,SENT,415444420D
03-25-2019 18:16:38.550,4352,RECV,34460D
03-25-2019 18:16:39.945,4353,SENT,2B2B2B
03-25-2019 18:16:39.998,4354,RECV,4F4B0D
03-25-2019 18:16:41.460,4355,SENT,415444420D
03-25-2019 18:16:41.513,4356,RECV,35300D
03-25-2019 18:16:42.970,4357,SENT,2B2B2B
03-25-2019 18:16:43.023,4358,RECV,4F4B0D
03-25-2019 18:16:44.481,4359,SENT,415444420D
03-25-2019 18:16:44.535,4360,RECV,35300D
03-25-2019 18:16:45.986,4361,SENT,2B2B2B
03-25-2019 18:16:46.039,4362,RECV,4F4B0D
03-25-2019 18:16:47.494,4363,SENT,415444420D
03-25-2019 18:16:47.547,4364,RECV,35300D
03-25-2019 18:16:49.004,4365,SENT,2B2B2B
03-25-2019 18:16:49.057,4366,RECV,4F4B0D
03-25-2019 18:16:50.512,4367,SENT,415444420D
03-25-2019 18:16:50.565,4368,RECV,35300D
03-25-2019 18:16:52.018,4369,SENT,2B2B2B
03-25-2019 18:16:52.071,4370,RECV,4F4B0D
03-25-2019 18:16:53.522,4371,SENT,415444420D
03-25-2019 18:16:53.576,4372,RECV,35300D
03-25-2019 18:16:55.036,4373,SENT,2B2B2B
03-25-2019 18:16:55.090,4374,RECV,4F4B0D
03-25-2019 18:16:56.548,4375,SENT,415444420D
03-25-2019 18:16:56.606,4376,RECV,34460D
03-25-2019 18:16:58.052,4377,SENT,2B2B2B
03-25-2019 18:16:58.105,4378,RECV,4F4B0D
03-25-2019 18:16:59.563,4379,SENT,415444420D
03-25-2019 18:16:59.617,4380,RECV,35300D
03-25-2019 18:17:01.074,4381,SENT,2B2B2B
03-25-2019 18:17:01.127,4382,RECV,4F4B0D
03-25-2019 18:17:02.589,4383,SENT,415444420D
03-25-2019 18:17:02.642,4384,RECV,35300D
03-25-2019 18:17:04.103,4385,SENT,2B2B2B
03-25-2019 18:17:04.156,4386,RECV,4F4B0D
03-25-2019 18:17:05.614,4387,SENT,415444420D
03-25-2019 18:17:05.667,4388,RECV,35300D
03-25-2019 18:17:07.120,4389,SENT,2B2B2B
03-25-2019 18:17:07.174,4390,RECV,4F4B0D
03-25-2019 18:17:08.630,4391,SENT,415444420D
03-25-2019 18:17:08.683,4392,RECV,34430D
03-25-2019 18:17:10.142,4393,SENT,2B2B2B
03-25-2019 18:17:10.195,4394,RECV,4F4B0D
03-25-2019 18:17:11.647,4395,SENT,415444420D
03-25-2019 18:17:11.700,4396,RECV,34440D
03-25-2019 18:17:13.148,4397,SENT,2B2B2B
03-25-2019 18:17:13.195,4398,RECV,4F4B0D
03-25-2019 18:17:14.658,4399,SENT,415444420D
03-25-2019 18:17:14.705,4400,RECV,34460D
03-25-2019 18:17:16.166,4401,SENT,2B2B2B
03-25-2019 18:17:16.212,4402,RECV,4F4B0D
03-25-2019 18:17:17.675,4403,SENT,415444420D
03-25-2019 18:17:17.722,4404,RECV,34440D
03-25-2019 18:17:19.185,4405,SENT,2B2B2B
03-25-2019 18:17:19.231,4406,RECV,4F4B0D
03-25-2019 18:17:20.687,4407,SENT,415444420D
03-25-2019 18:17:20.749,4408,RECV,34440D
03-25-2019 18:17:22.188,4409,SENT,2B2B2B
03-25-2019 18:17:22.251,4410,RECV,4F4B0D
03-25-2019 18:17:23.698,4411,SENT,415444420D
03-25-2019 18:17:23.761,4412,RECV,34440D
03-25-2019 18:17:25.210,4413,SENT,2B2B2B
03-25-2019 18:17:25.272,4414,RECV,4F4B0D
03-25-2019 18:17:26.716,4415,SENT,415444420D
03-25-2019 18:17:26.779,4416,RECV,34440D
03-25-2019 18:17:28.218,4417,SENT,2B2B2B
03-25-2019 18:17:28.234,4418,RECV,4F4B0D
03-25-2019 18:17:29.730,4419,SENT,415444420D
03-25-2019 18:17:29.746,4420,RECV,34440D
03-25-2019 18:17:31.244,4421,SENT,2B2B2B
03-25-2019 18:17:31.260,4422,RECV,4F4B0D
03-25-2019 18:17:32.763,4423,SENT,415444420D
03-25-2019 18:17:32.778,4424,RECV,34440D
03-25-2019 18:17:34.277,4425,SENT,2B2B2B
03-25-2019 18:17:34.292,4426,RECV,4F4B0D
03-25-2019 18:17:35.784,4427,SENT,415444420D
03-25-2019 18:17:35.800,4428,RECV,34440D
03-25-2019 18:17:37.292,4429,SENT,2B2B2B
03-25-2019 18:17:37.307,4430,RECV,4F4B0D
03-25-2019 18:17:38.802,4431,SENT,415444420D
03-25-2019 18:17:38.817,4432,RECV,34440D
03-25-2019 18:17:40.310,4433,SENT,2B2B2B
03-25-2019 18:17:40.326,4434,RECV,4F4B0D
03-25-2019 18:17:41.820,4435,SENT,415444420D
03-25-2019 18:17:41.883,4436,RECV,34440D
03-25-2019 18:17:43.342,4437,SENT,2B2B2B
03-25-2019 18:17:43.404,4438,RECV,4F4B0D
03-25-2019 18:17:44.852,4439,SENT,415444420D
03-25-2019 18:17:44.914,4440,RECV,34440D
03-25-2019 18:17:46.353,4441,SENT,2B2B2B
03-25-2019 18:17:46.374,4442,RECV,4F4B0D
03-25-2019 18:17:47.858,4443,SENT,415444420D
03-25-2019 18:17:47.880,4444,RECV,34440D
03-25-2019 18:17:49.374,4445,SENT,2B2B2B
03-25-2019 18:17:49.390,4446,RECV,4F4B0D
03-25-2019 18:17:50.882,4447,SENT,415444420D
03-25-2019 18:17:51.004,4448,RECV,34420D
03-25-2019 18:17:52.391,4449,SENT,2B2B2B
03-25-2019 18:17:52.444,4450,RECV,4F4B0D
03-25-2019 18:17:53.898,4451,SENT,415444420D
03-25-2019 18:17:53.950,4452,RECV,34430D
03-25-2019 18:17:55.401,4453,SENT,2B2B2B
03-25-2019 18:17:55.455,4454,RECV,4F4B0D
03-25-2019 18:17:56.913,4455,SENT,415444420D
03-25-2019 18:17:57.035,4456,RECV,34420D
03-25-2019 18:17:58.423,4457,SENT,2B2B2B
03-25-2019 18:17:58.476,4458,RECV,4F4B0D
03-25-2019 18:17:59.929,4459,SENT,415444420D
03-25-2019 18:17:59.983,4460,RECV,34460D
03-25-2019 18:18:01.440,4461,SENT,2B2B2B
03-25-2019 18:18:01.493,4462,RECV,4F4B0D
03-25-2019 18:18:02.943,4463,SENT,415444420D
03-25-2019 18:18:02.958,4464,RECV,34450D
03-25-2019 18:18:04.457,4465,SENT,2B2B2B
03-25-2019 18:18:04.526,4466,RECV,4F4B0D
03-25-2019 18:18:05.967,4467,SENT,415444420D
03-25-2019 18:18:06.020,4468,RECV,34440D
03-25-2019 18:18:07.481,4469,SENT,2B2B2B
03-25-2019 18:18:07.535,4470,RECV,4F4B0D
03-25-2019 18:18:08.989,4471,SENT,415444420D
03-25-2019 18:18:09.043,4472,RECV,34430D
03-25-2019 18:18:10.495,4473,SENT,2B2B2B
03-25-2019 18:18:10.558,4474,RECV,4F4B0D
03-25-2019 18:18:12.002,4475,SENT,415444420D
03-25-2019 18:18:12.065,4476,RECV,34430D
03-25-2019 18:18:13.514,4477,SENT,2B2B2B
03-25-2019 18:18:13.576,4478,RECV,4F4B0D
03-25-2019 18:18:15.018,4479,SENT,415444420D
03-25-2019 18:18:15.034,4480,RECV,34430D
03-25-2019 18:18:16.522,4481,SENT,2B2B2B
03-25-2019 18:18:16.600,4482,RECV,4F4B0D
03-25-2019 18:18:18.038,4483,SENT,415444420D
03-25-2019 18:18:18.116,4484,RECV,34460D
03-25-2019 18:18:19.550,4485,SENT,2B2B2B
03-25-2019 18:18:19.628,4486,RECV,4F4B0D
03-25-2019 18:18:21.059,4487,SENT,415444420D
03-25-2019 18:18:21.074,4488,RECV,34450D
03-25-2019 18:18:22.568,4489,SENT,2B2B2B
03-25-2019 18:18:22.646,4490,RECV,4F4B0D
03-25-2019 18:18:24.083,4491,SENT,415444420D
03-25-2019 18:18:24.161,4492,RECV,34430D
03-25-2019 18:18:25.587,4493,SENT,2B2B2B
03-25-2019 18:18:25.603,4494,RECV,4F4B0D
03-25-2019 18:18:27.095,4495,SENT,415444420D
03-25-2019 18:18:27.173,4496,RECV,34420D
03-25-2019 18:18:28.607,4497,SENT,2B2B2B
03-25-2019 18:18:28.707,4498,RECV,4F4B0D
03-25-2019 18:18:30.117,4499,SENT,415444420D
03-25-2019 18:18:30.149,4500,RECV,34430D
03-25-2019 18:18:31.625,4501,SENT,2B2B2B
03-25-2019 18:18:31.656,4502,RECV,4F4B0D
03-25-2019 18:18:33.136,4503,SENT,415444420D
03-25-2019 18:18:33.167,4504,RECV,34460D
03-25-2019 18:18:34.646,4505,SENT,2B2B2B
03-25-2019 18:18:34.677,4506,RECV,4F4B0D
03-25-2019 18:18:36.156,4507,SENT,415444420D
03-25-2019 18:18:36.188,4508,RECV,34460D
03-25-2019 18:18:37.665,4509,SENT,2B2B2B
03-25-2019 18:18:37.697,4510,RECV,4F4B0D
03-25-2019 18:18:39.174,4511,SENT,415444420D
03-25-2019 18:18:39.205,4512,RECV,34430D
03-25-2019 18:18:40.684,4513,SENT,2B2B2B
03-25-2019 18:18:40.715,4514,RECV,4F4B0D
03-25-2019 18:18:42.187,4515,SENT,415444420D
03-25-2019 18:18:42.218,4516,RECV,34430D
03-25-2019 18:18:43.702,4517,SENT,2B2B2B
03-25-2019 18:18:43.733,4518,RECV,4F4B0D
03-25-2019 18:18:45.213,4519,SENT,415444420D
03-25-2019 18:18:45.245,4520,RECV,34430D
03-25-2019 18:18:46.721,4521,SENT,2B2B2B
03-25-2019 18:18:46.753,4522,RECV,4F4B0D
03-25-2019 18:18:48.229,4523,SENT,415444420D
03-25-2019 18:18:48.260,4524,RECV,34430D
03-25-2019 18:18:49.740,4525,SENT,2B2B2B
03-25-2019 18:18:49.771,4526,RECV,4F4B0D
03-25-2019 18:18:51.245,4527,SENT,415444420D
