03-22-2019 17:16:39.995,-,AT,"Receiver,0013A20041579DF5,9XTend DigiMesh (version B),8003,COM14 - 9600/8/N/1/N,6"
03-22-2019 17:21:10.977,11787,SENT,415444420D
03-22-2019 17:21:11.043,11788,RECV,34370D
03-22-2019 17:21:12.479,11789,SENT,2B2B2B
03-22-2019 17:21:12.500,11790,RECV,4F4B0D
03-22-2019 17:21:13.978,11791,SENT,415444420D
03-22-2019 17:21:14.008,11792,RECV,34380D
03-22-2019 17:21:15.480,11793,SENT,2B2B2B
03-22-2019 17:21:15.515,11794,RECV,4F4B0D
03-22-2019 17:21:16.979,11795,SENT,415444420D
03-22-2019 17:21:17.023,11796,RECV,34370D
03-22-2019 17:21:18.481,11797,SENT,2B2B2B
03-22-2019 17:21:18.534,11798,RECV,4F4B0D
03-22-2019 17:21:19.980,11799,SENT,415444420D
03-22-2019 17:21:19.989,11800,RECV,3437
03-22-2019 17:21:20.039,11801,RECV,0D
03-22-2019 17:21:21.482,11802,SENT,2B2B2B
03-22-2019 17:21:21.498,11803,RECV,4F4B0D
03-22-2019 17:21:22.982,11804,SENT,415444420D
03-22-2019 17:21:23.007,11805,RECV,34370D
03-22-2019 17:21:24.483,11806,SENT,2B2B2B
03-22-2019 17:21:24.516,11807,RECV,4F4B0D
03-22-2019 17:21:25.983,11808,SENT,415444420D
03-22-2019 17:21:26.023,11809,RECV,34370D
03-22-2019 17:21:27.483,11810,SENT,2B2B2B
03-22-2019 17:21:27.535,11811,RECV,4F4B0D
03-22-2019 17:21:28.984,11812,SENT,415444420D
03-22-2019 17:21:28.994,11813,RECV,34370D
03-22-2019 17:21:30.485,11814,SENT,2B2B2B
03-22-2019 17:21:30.502,11815,RECV,4F4B0D
03-22-2019 17:21:31.985,11816,SENT,415444420D
03-22-2019 17:21:32.010,11817,RECV,34370D
03-22-2019 17:21:33.486,11818,SENT,2B2B2B
03-22-2019 17:21:33.518,11819,RECV,4F4B0D
03-22-2019 17:21:34.986,11820,SENT,415444420D
03-22-2019 17:21:35.075,11821,RECV,34360D
03-22-2019 17:21:36.488,11822,SENT,2B2B2B
03-22-2019 17:21:36.534,11823,RECV,4F4B0D
03-22-2019 17:21:37.988,11824,SENT,415444420D
03-22-2019 17:21:38.043,11825,RECV,34370D
03-22-2019 17:21:39.489,11826,SENT,2B2B2B
03-22-2019 17:21:39.553,11827,RECV,4F4B0D
03-22-2019 17:21:40.989,11828,SENT,415444420D
03-22-2019 17:21:41.064,11829,RECV,34370D
03-22-2019 17:21:42.491,11830,SENT,2B2B2B
03-22-2019 17:21:42.521,11831,RECV,4F4B0D
03-22-2019 17:21:43.990,11832,SENT,415444420D
03-22-2019 17:21:44.030,11833,RECV,3436
03-22-2019 17:21:44.080,11834,RECV,0D
03-22-2019 17:21:45.492,11835,SENT,2B2B2B
03-22-2019 17:21:45.538,11836,RECV,4F4B0D
03-22-2019 17:21:46.992,11837,SENT,415444420D
03-22-2019 17:21:47.047,11838,RECV,34370D
03-22-2019 17:21:48.493,11839,SENT,2B2B2B
03-22-2019 17:21:48.554,11840,RECV,4F4B0D
03-22-2019 17:21:49.993,11841,SENT,415444420D
03-22-2019 17:21:50.064,11842,RECV,34370D
03-22-2019 17:21:51.494,11843,SENT,2B2B2B
03-22-2019 17:21:51.523,11844,RECV,4F
03-22-2019 17:21:51.716,11845,RECV,4B0D
03-22-2019 17:21:52.995,11846,SENT,415444420D
03-22-2019 17:21:53.028,11847,RECV,34380D
03-22-2019 17:21:54.496,11848,SENT,2B2B2B
03-22-2019 17:21:54.536,11849,RECV,4F4B0D
03-22-2019 17:21:55.996,11850,SENT,415444420D
03-22-2019 17:21:56.044,11851,RECV,34380D
03-22-2019 17:21:57.496,11852,SENT,2B2B2B
03-22-2019 17:21:57.502,11853,RECV,4F
03-22-2019 17:21:57.503,11854,RECV,4B
03-22-2019 17:21:57.553,11855,RECV,0D
03-22-2019 17:21:58.997,11856,SENT,415444420D
03-22-2019 17:21:59.013,11857,RECV,34370D
03-22-2019 17:22:00.499,11858,SENT,2B2B2B
03-22-2019 17:22:00.523,11859,RECV,4F4B0D
03-22-2019 17:22:02.000,11860,SENT,415444420D
03-22-2019 17:22:02.032,11861,RECV,34370D
03-22-2019 17:22:03.501,11862,SENT,2B2B2B
03-22-2019 17:22:03.543,11863,RECV,4F4B0D
03-22-2019 17:22:05.002,11864,SENT,415444420D
03-22-2019 17:22:05.051,11865,RECV,34370D
03-22-2019 17:22:06.503,11866,SENT,2B2B2B
03-22-2019 17:22:06.556,11867,RECV,4F4B0D
03-22-2019 17:22:08.002,11868,SENT,415444420D
03-22-2019 17:22:08.018,11869,RECV,34370D
03-22-2019 17:22:09.504,11870,SENT,2B2B2B
03-22-2019 17:22:09.524,11871,RECV,4F4B0D
03-22-2019 17:22:11.005,11872,SENT,415444420D
03-22-2019 17:22:11.033,11873,RECV,34370D
03-22-2019 17:22:12.506,11874,SENT,2B2B2B
03-22-2019 17:22:12.540,11875,RECV,4F4B0D
03-22-2019 17:22:14.006,11876,SENT,415444420D
03-22-2019 17:22:14.048,11877,RECV,34370D
03-22-2019 17:22:15.507,11878,SENT,2B2B2B
03-22-2019 17:22:15.558,11879,RECV,4F4B0D
03-22-2019 17:22:17.007,11880,SENT,415444420D
03-22-2019 17:22:17.016,11881,RECV,34370D
03-22-2019 17:22:18.508,11882,SENT,2B2B2B
03-22-2019 17:22:18.524,11883,RECV,4F4B0D
03-22-2019 17:22:20.008,11884,SENT,415444420D
03-22-2019 17:22:20.032,11885,RECV,34370D
03-22-2019 17:22:21.509,11886,SENT,2B2B2B
03-22-2019 17:22:21.539,11887,RECV,4F4B0D
03-22-2019 17:22:23.009,11888,SENT,415444420D
03-22-2019 17:22:23.047,11889,RECV,34370D
03-22-2019 17:22:24.511,11890,SENT,2B2B2B
03-22-2019 17:22:24.553,11891,RECV,4F4B0D
03-22-2019 17:22:26.010,11892,SENT,415444420D
03-22-2019 17:22:26.064,11893,RECV,34370D
03-22-2019 17:22:27.510,11894,SENT,2B2B2B
03-22-2019 17:22:27.520,11895,RECV,4F4B0D
03-22-2019 17:22:29.012,11896,SENT,415444420D
03-22-2019 17:22:29.025,11897,RECV,34370D
03-22-2019 17:22:30.513,11898,SENT,2B2B2B
03-22-2019 17:22:30.536,11899,RECV,4F4B0D
03-22-2019 17:22:32.013,11900,SENT,415444420D
03-22-2019 17:22:32.044,11901,RECV,34370D
03-22-2019 17:22:33.515,11902,SENT,2B2B2B
03-22-2019 17:22:33.550,11903,RECV,4F4B0D
03-22-2019 17:22:35.015,11904,SENT,415444420D
03-22-2019 17:22:35.061,11905,RECV,34370D
03-22-2019 17:22:36.516,11906,SENT,2B2B2B
03-22-2019 17:22:36.569,11907,RECV,4F4B0D
03-22-2019 17:22:38.017,11908,SENT,415444420D
03-22-2019 17:22:38.029,11909,RECV,34370D
03-22-2019 17:22:39.518,11910,SENT,2B2B2B
03-22-2019 17:22:39.537,11911,RECV,4F4B0D
03-22-2019 17:22:41.019,11912,SENT,415444420D
03-22-2019 17:22:41.047,11913,RECV,34370D
03-22-2019 17:22:42.521,11914,SENT,2B2B2B
03-22-2019 17:22:42.552,11915,RECV,4F4B0D
03-22-2019 17:22:44.020,11916,SENT,415444420D
